location,date,aod,humidity
AMAYA,20140101,0.15,77.53
AMAYA,20140102,0.11,77.35
AMAYA,20140103,0.11,74.33
AMAYA,20140104,0.12,72.82
AMAYA,20140105,0.18,79.51
AMAYA,20140106,0.2,79.39
AMAYA,20140107,0.23,78.34
AMAYA,20140108,0.17,77.53
AMAYA,20140109,0.2,76.25
AMAYA,20140110,0.25,77.32
AMAYA,20140111,0.31,73.83
AMAYA,20140112,0.27,76.55
AMAYA,20140113,0.25,80.3
AMAYA,20140114,0.27,76.27
AMAYA,20140115,0.32,77.44
AMAYA,20140116,0.35,75.32
AMAYA,20140117,0.34,76.42
AMAYA,20140118,0.38,75.16
AMAYA,20140119,0.28,72.14
AMAYA,20140120,0.26,73.25
AMAYA,20140121,0.7,73.87
AMAYA,20140122,0.26,78.58
AMAYA,20140123,0.36,77.47
AMAYA,20140124,0.25,73.5
AMAYA,20140125,0.26,69.0
AMAYA,20140126,0.32,66.72
AMAYA,20140127,0.24,74.17
AMAYA,20140128,0.29,71.72
AMAYA,20140129,0.23,74.08
AMAYA,20140130,0.16,75.12
AMAYA,20140131,0.12,71.35
AMAYA,20140201,0.29,79.07
AMAYA,20140202,0.17,83.61
AMAYA,20140203,0.13,79.87
AMAYA,20140204,0.18,74.13
AMAYA,20140205,0.17,75.49
AMAYA,20140206,0.21,74.04
AMAYA,20140207,0.19,71.96
AMAYA,20140208,0.17,71.13
AMAYA,20140209,0.14,72.02
AMAYA,20140210,0.27,70.84
AMAYA,20140211,0.27,73.96
AMAYA,20140212,0.24,72.13
AMAYA,20140213,0.26,66.46
AMAYA,20140214,0.35,63.29
AMAYA,20140215,0.33,68.49
AMAYA,20140216,0.2,70.09
AMAYA,20140217,0.25,70.55
AMAYA,20140218,0.22,66.75
AMAYA,20140219,0.25,67.55
AMAYA,20140220,0.35,66.33
AMAYA,20140221,0.22,69.09
AMAYA,20140222,0.23,68.87
AMAYA,20140223,0.24,71.83
AMAYA,20140224,0.2,67.93
AMAYA,20140225,0.19,68.68
AMAYA,20140226,0.27,68.92
AMAYA,20140227,0.16,68.7
AMAYA,20140228,0.13,68.02
AMAYA,20140301,0.21,64.14
AMAYA,20140302,0.21,66.63
AMAYA,20140303,0.27,64.36
AMAYA,20140304,0.38,66.45
AMAYA,20140305,0.44,65.5
AMAYA,20140306,0.3,66.26
AMAYA,20140307,0.27,71.71
AMAYA,20140308,0.27,66.9
AMAYA,20140309,0.35,64.47
AMAYA,20140310,0.43,70.25
AMAYA,20140311,0.26,75.65
AMAYA,20140312,0.3,69.67
AMAYA,20140313,0.27,65.01
AMAYA,20140314,0.29,69.92
AMAYA,20140315,0.33,71.21
AMAYA,20140316,0.35,67.56
AMAYA,20140317,0.32,65.19
AMAYA,20140318,0.38,65.19
AMAYA,20140319,0.33,65.18
AMAYA,20140320,0.24,64.28
AMAYA,20140321,0.29,69.91
AMAYA,20140322,0.3,69.39
AMAYA,20140323,0.36,68.8
AMAYA,20140324,0.37,74.89
AMAYA,20140325,0.23,78.48
AMAYA,20140326,0.15,73.87
AMAYA,20140327,0.19,72.89
AMAYA,20140328,0.17,69.87
AMAYA,20140329,0.24,68.13
AMAYA,20140330,0.27,65.85
AMAYA,20140331,0.15,65.3
AMAYA,20140401,0.15,64.85
AMAYA,20140402,0.26,63.61
AMAYA,20140403,0.17,64.46
AMAYA,20140404,0.19,61.45
AMAYA,20140405,0.25,62.08
AMAYA,20140406,0.2,68.44
AMAYA,20140407,0.16,64.42
AMAYA,20140408,0.29,66.69
AMAYA,20140409,0.34,65.26
AMAYA,20140410,0.3,61.73
AMAYA,20140411,0.31,63.48
AMAYA,20140412,0.29,60.81
AMAYA,20140413,0.31,63.09
AMAYA,20140414,0.34,61.47
AMAYA,20140415,0.33,59.22
AMAYA,20140416,0.33,65.04
AMAYA,20140417,0.29,62.88
AMAYA,20140418,0.31,61.87
AMAYA,20140419,0.26,64.02
AMAYA,20140420,0.44,62.87
AMAYA,20140421,0.29,59.95
AMAYA,20140422,0.31,64.66
AMAYA,20140423,0.36,63.34
AMAYA,20140424,0.3,65.45
AMAYA,20140425,0.24,66.02
AMAYA,20140426,0.17,71.09
AMAYA,20140427,0.19,65.91
AMAYA,20140428,0.39,70.85
AMAYA,20140429,0.42,67.49
AMAYA,20140430,0.31,64.19
AMAYA,20140501,0.28,66.9
AMAYA,20140502,0.26,66.55
AMAYA,20140503,0.2,68.18
AMAYA,20140504,0.22,69.48
AMAYA,20140505,0.13,68.54
AMAYA,20140506,0.13,61.85
AMAYA,20140507,0.15,65.98
AMAYA,20140508,0.26,66.88
AMAYA,20140509,0.4,69.16
AMAYA,20140510,0.31,69.0
AMAYA,20140511,0.24,65.8
AMAYA,20140512,0.17,61.08
AMAYA,20140513,0.18,63.53
AMAYA,20140514,0.18,63.77
AMAYA,20140515,0.15,66.42
AMAYA,20140516,0.21,61.97
AMAYA,20140517,0.13,57.81
AMAYA,20140518,0.14,59.48
AMAYA,20140519,0.12,59.98
AMAYA,20140520,0.24,63.43
AMAYA,20140521,0.33,67.81
AMAYA,20140522,0.34,71.3
AMAYA,20140523,0.31,71.02
AMAYA,20140524,0.17,69.14
AMAYA,20140525,0.13,69.55
AMAYA,20140526,0.15,75.11
AMAYA,20140527,0.29,75.55
AMAYA,20140528,0.38,77.28
AMAYA,20140529,0.34,74.02
AMAYA,20140530,0.39,75.38
AMAYA,20140531,0.27,71.19
AMAYA,20140601,0.21,70.78
AMAYA,20140602,0.22,69.78
AMAYA,20140603,0.24,75.85
AMAYA,20140604,0.22,77.12
AMAYA,20140605,0.35,76.66
AMAYA,20140606,0.35,75.42
AMAYA,20140607,0.38,76.12
AMAYA,20140608,0.23,77.69
AMAYA,20140609,0.25,83.2
AMAYA,20140610,0.29,85.53
AMAYA,20140611,0.5,84.96
AMAYA,20140612,0.52,85.55
AMAYA,20140613,0.53,87.09
AMAYA,20140614,0.5,86.53
AMAYA,20140615,0.36,87.57
AMAYA,20140616,0.19,82.96
AMAYA,20140617,0.2,82.99
AMAYA,20140618,0.24,86.32
AMAYA,20140619,0.34,86.12
AMAYA,20140620,0.44,85.98
AMAYA,20140621,0.47,84.81
AMAYA,20140622,0.43,85.29
AMAYA,20140623,0.32,82.12
AMAYA,20140624,0.21,80.99
AMAYA,20140625,0.23,80.4
AMAYA,20140626,0.22,88.11
AMAYA,20140627,0.31,89.3
AMAYA,20140628,0.28,82.61
AMAYA,20140629,0.29,82.14
AMAYA,20140630,0.22,85.47
AMAYA,20140701,0.2,86.46
AMAYA,20140702,0.26,78.22
AMAYA,20140703,0.27,86.58
AMAYA,20140704,0.25,87.12
AMAYA,20140705,0.2,86.79
AMAYA,20140706,0.29,86.44
AMAYA,20140707,0.4,86.29
AMAYA,20140708,0.37,88.98
AMAYA,20140709,0.31,90.62
AMAYA,20140710,0.3,88.25
AMAYA,20140711,0.24,87.31
AMAYA,20140712,0.17,80.12
AMAYA,20140713,0.13,78.97
AMAYA,20140714,0.26,81.02
AMAYA,20140715,0.23,86.93
AMAYA,20140716,0.16,88.03
AMAYA,20140717,0.27,86.38
AMAYA,20140718,0.38,86.66
AMAYA,20140719,0.31,84.98
AMAYA,20140720,0.32,90.05
AMAYA,20140721,0.27,90.01
AMAYA,20140722,0.33,90.5
AMAYA,20140723,0.43,89.88
AMAYA,20140724,0.34,87.35
AMAYA,20140725,0.36,85.45
AMAYA,20140726,0.34,87.66
AMAYA,20140727,0.42,88.08
AMAYA,20140728,0.45,89.08
AMAYA,20140729,0.32,89.9
AMAYA,20140730,0.54,92.06
AMAYA,20140731,0.59,90.2
AMAYA,20140801,0.56,88.66
AMAYA,20140802,0.5,89.87
AMAYA,20140803,0.52,89.84
AMAYA,20140804,0.49,90.44
AMAYA,20140805,0.47,89.91
AMAYA,20140806,0.36,86.2
AMAYA,20140807,0.25,85.86
AMAYA,20140808,0.21,85.65
AMAYA,20140809,0.21,85.9
AMAYA,20140810,0.27,87.09
AMAYA,20140811,0.21,85.44
AMAYA,20140812,0.16,83.91
AMAYA,20140813,0.13,80.23
AMAYA,20140814,0.14,78.34
AMAYA,20140815,0.23,81.32
AMAYA,20140816,0.3,86.01
AMAYA,20140817,0.37,84.85
AMAYA,20140818,0.28,81.48
AMAYA,20140819,0.24,78.72
AMAYA,20140820,0.24,79.92
AMAYA,20140821,0.24,82.41
AMAYA,20140822,0.23,83.63
AMAYA,20140823,0.23,80.66
AMAYA,20140824,0.22,82.42
AMAYA,20140825,0.22,83.67
AMAYA,20140826,0.4,86.36
AMAYA,20140827,0.22,78.59
AMAYA,20140828,0.2,82.38
AMAYA,20140829,0.22,85.66
AMAYA,20140830,0.28,85.67
AMAYA,20140831,0.29,82.98
AMAYA,20140901,0.21,80.05
AMAYA,20140902,0.22,82.63
AMAYA,20140903,0.19,80.77
AMAYA,20140904,0.39,83.84
AMAYA,20140905,0.35,87.74
AMAYA,20140906,0.29,84.21
AMAYA,20140907,0.2,87.27
AMAYA,20140908,0.2,86.79
AMAYA,20140909,0.27,87.18
AMAYA,20140910,0.26,88.1
AMAYA,20140911,0.18,85.21
AMAYA,20140912,0.15,86.32
AMAYA,20140913,0.22,89.95
AMAYA,20140914,0.32,90.31
AMAYA,20140915,0.44,87.73
AMAYA,20140916,0.48,84.55
AMAYA,20140917,0.24,81.5
AMAYA,20140918,0.25,86.19
AMAYA,20140919,0.55,92.05
AMAYA,20140920,0.27,85.18
AMAYA,20140921,0.22,85.69
AMAYA,20140922,0.29,85.44
AMAYA,20140923,0.24,82.72
AMAYA,20140924,0.25,81.89
AMAYA,20140925,0.23,81.11
AMAYA,20140926,0.21,81.39
AMAYA,20140927,0.16,78.55
AMAYA,20140928,0.21,79.48
AMAYA,20140929,0.32,84.53
AMAYA,20140930,0.3,81.29
AMAYA,20141001,0.26,77.71
AMAYA,20141002,0.24,83.83
AMAYA,20141003,0.28,80.39
AMAYA,20141004,0.47,78.82
AMAYA,20141005,0.4,80.17
AMAYA,20141006,0.38,82.37
AMAYA,20141007,0.24,75.29
AMAYA,20141008,0.25,83.01
AMAYA,20141009,0.37,85.29
AMAYA,20141010,0.4,84.14
AMAYA,20141011,0.52,87.42
AMAYA,20141012,0.42,81.5
AMAYA,20141013,0.28,80.13
AMAYA,20141014,0.32,86.6
AMAYA,20141015,0.36,84.11
AMAYA,20141016,0.27,78.51
AMAYA,20141017,0.31,87.52
AMAYA,20141018,0.21,86.21
AMAYA,20141019,0.19,82.17
AMAYA,20141020,0.18,84.92
AMAYA,20141021,0.15,84.16
AMAYA,20141022,0.14,82.14
AMAYA,20141023,0.15,82.79
AMAYA,20141024,0.13,80.46
AMAYA,20141025,0.13,81.88
AMAYA,20141026,0.16,84.59
AMAYA,20141027,0.2,87.8
AMAYA,20141028,0.19,87.4
AMAYA,20141029,0.19,90.69
AMAYA,20141030,0.14,82.36
AMAYA,20141031,0.23,83.74
AMAYA,20141101,0.15,83.31
AMAYA,20141102,0.12,81.52
AMAYA,20141103,0.21,81.0
AMAYA,20141104,0.35,81.59
AMAYA,20141105,0.42,79.95
AMAYA,20141106,0.29,79.78
AMAYA,20141107,0.26,76.81
AMAYA,20141108,0.22,83.58
AMAYA,20141109,0.2,83.55
AMAYA,20141110,0.25,80.96
AMAYA,20141111,0.24,81.43
AMAYA,20141112,0.25,80.95
AMAYA,20141113,0.28,79.84
AMAYA,20141114,0.29,83.78
AMAYA,20141115,0.29,86.85
AMAYA,20141116,0.22,86.28
AMAYA,20141117,0.14,85.64
AMAYA,20141118,0.16,84.33
AMAYA,20141119,0.22,86.53
AMAYA,20141120,0.2,87.12
AMAYA,20141121,0.14,85.93
AMAYA,20141122,0.12,83.44
AMAYA,20141123,0.12,83.91
AMAYA,20141124,0.1,83.97
AMAYA,20141125,0.1,83.38
AMAYA,20141126,0.13,86.63
AMAYA,20141127,0.21,87.22
AMAYA,20141128,0.17,89.14
AMAYA,20141129,0.11,86.06
AMAYA,20141130,0.23,86.3
AMAYA,20141201,0.15,87.16
AMAYA,20141202,0.26,87.27
AMAYA,20141203,0.21,82.04
AMAYA,20141204,0.18,83.2
AMAYA,20141205,0.21,82.97
AMAYA,20141206,0.37,80.78
AMAYA,20141207,0.29,80.21
AMAYA,20141208,0.22,83.25
AMAYA,20141209,0.27,91.01
AMAYA,20141210,0.16,85.1
AMAYA,20141211,0.13,84.8
AMAYA,20141212,0.14,84.34
AMAYA,20141213,0.15,85.9
AMAYA,20141214,0.21,84.85
AMAYA,20141215,0.18,87.62
AMAYA,20141216,0.19,89.17
AMAYA,20141217,0.32,85.86
AMAYA,20141218,0.32,82.06
