Date,Rainfall_mm,Barangay,Static_Score,Rain_3Day_Sum
01/01/2016,3.22,Amaya,0.404202719,
02/01/2016,3.41,Amaya,0.404202719,
03/01/2016,0.44,Amaya,0.404202719,7.07
04/01/2016,0.07,Amaya,0.404202719,3.92
05/01/2016,0.05,Amaya,0.404202719,0.56
06/01/2016,0.11,Amaya,0.404202719,0.23
07/01/2016,0.26,Amaya,0.404202719,0.42
08/01/2016,0.16,Amaya,0.404202719,0.53
09/01/2016,0.28,Amaya,0.404202719,0.7
10/01/2016,0.06,Amaya,0.404202719,0.5
11/01/2016,0.2,Amaya,0.404202719,0.54
12/01/2016,0.12,Amaya,0.404202719,0.38
13/01/2016,0.12,Amaya,0.404202719,0.44
14/01/2016,0.18,Amaya,0.404202719,0.42
15/01/2016,0.14,Amaya,0.404202719,0.44
16/01/2016,0.33,Amaya,0.404202719,0.65
17/01/2016,0.04,Amaya,0.404202719,0.51
18/01/2016,0.05,Amaya,0.404202719,0.42
19/01/2016,0.27,Amaya,0.404202719,0.36
20/01/2016,0.81,Amaya,0.404202719,1.13
21/01/2016,0.01,Amaya,0.404202719,1.09
22/01/2016,0.01,Amaya,0.404202719,0.83
23/01/2016,0.17,Amaya,0.404202719,0.19
24/01/2016,3.32,Amaya,0.404202719,3.5
25/01/2016,0.76,Amaya,0.404202719,4.25
26/01/2016,0.22,Amaya,0.404202719,4.3
27/01/2016,0.17,Amaya,0.404202719,1.15
28/01/2016,0.09,Amaya,0.404202719,0.48
29/01/2016,0.52,Amaya,0.404202719,0.78
30/01/2016,0.24,Amaya,0.404202719,0.85
31/01/2016,0.5,Amaya,0.404202719,1.26
01/02/2016,0.06,Amaya,0.404202719,0.8
02/02/2016,0.02,Amaya,0.404202719,0.58
03/02/2016,0.45,Amaya,0.404202719,0.53
04/02/2016,0.72,Amaya,0.404202719,1.19
05/02/2016,3.6,Amaya,0.404202719,4.77
06/02/2016,8.56,Amaya,0.404202719,12.88
07/02/2016,10.09,Amaya,0.404202719,22.25
08/02/2016,0.26,Amaya,0.404202719,18.91
09/02/2016,0.4,Amaya,0.404202719,10.75
10/02/2016,0.2,Amaya,0.404202719,0.86
11/02/2016,0.11,Amaya,0.404202719,0.71
12/02/2016,0.06,Amaya,0.404202719,0.37
13/02/2016,0,Amaya,0.404202719,0.17
14/02/2016,0,Amaya,0.404202719,0.06
15/02/2016,0.26,Amaya,0.404202719,0.26
16/02/2016,0.71,Amaya,0.404202719,0.97
17/02/2016,0.06,Amaya,0.404202719,1.03
18/02/2016,0.07,Amaya,0.404202719,0.84
19/02/2016,0.44,Amaya,0.404202719,0.57
20/02/2016,0.09,Amaya,0.404202719,0.6
21/02/2016,0.11,Amaya,0.404202719,0.64
22/02/2016,0.05,Amaya,0.404202719,0.25
23/02/2016,0.1,Amaya,0.404202719,0.26
24/02/2016,0.26,Amaya,0.404202719,0.41
25/02/2016,1.65,Amaya,0.404202719,2.01
26/02/2016,2.5,Amaya,0.404202719,4.41
27/02/2016,0.75,Amaya,0.404202719,4.9
28/02/2016,1.43,Amaya,0.404202719,4.68
29/02/2016,10.89,Amaya,0.404202719,13.07
01/03/2016,3.36,Amaya,0.404202719,15.68
02/03/2016,1.7,Amaya,0.404202719,15.95
03/03/2016,2,Amaya,0.404202719,7.06
04/03/2016,0.58,Amaya,0.404202719,4.28
05/03/2016,0.23,Amaya,0.404202719,2.81
06/03/2016,0,Amaya,0.404202719,0.81
07/03/2016,0.01,Amaya,0.404202719,0.24
08/03/2016,0,Amaya,0.404202719,0.01
09/03/2016,0,Amaya,0.404202719,0.01
10/03/2016,0.01,Amaya,0.404202719,0.01
11/03/2016,0,Amaya,0.404202719,0.01
12/03/2016,0.01,Amaya,0.404202719,0.02
13/03/2016,0.05,Amaya,0.404202719,0.06
14/03/2016,0,Amaya,0.404202719,0.06
15/03/2016,0.09,Amaya,0.404202719,0.14
16/03/2016,0.02,Amaya,0.404202719,0.11
17/03/2016,1.6,Amaya,0.404202719,1.71
18/03/2016,1.44,Amaya,0.404202719,3.06
19/03/2016,0.26,Amaya,0.404202719,3.3
20/03/2016,0.01,Amaya,0.404202719,1.71
21/03/2016,0,Amaya,0.404202719,0.27
