Barangay,Base Price,Price,Lot Area,Floor Area,price per lotsqm,price per floorsqm,Is Amortized?,development
JULUGAN,2000000,2000000,60,97,33333.33333,20618.5567,no,0.55
SANTOL,652867.4498,1880000,40,45,47000,41777.77778,yes,0.65
MULAWIN,3000000,3000000,40,50,75000,60000,no,0.4
BAGTAS,2500000,2500000,50,40,50000,62500,no,0.7
SANJA MAYOR,1300000,1300000,50,46,26000,28260.86957,no,0.5
SANJA MAYOR,2200000,2200000,40,46,55000,47826.08696,no,0.5
BAGTAS,1500000,1500000,37,42,40540.54054,35714.28571,no,0.7
TANAUAN,3000000,3000000,44,60,68181.81818,50000,no,0.25
MULAWIN,3500000,3500000,96,42,36458.33333,83333.33333,no,0.4
PARADAHAN,3500000,3500000,78,70,44871.79487,50000,no,0.65
BIGA,3000000,3000000,83,47,36144.57831,63829.78723,no,0.6
SANJA MAYOR,1200000,1200000,60,46,20000,26086.95652,no,0.5
BAGTAS,1500000,1500000,37,42,40540.54054,35714.28571,no,0.7
SANJA MAYOR,2000000,2000000,53,52,37735.84906,38461.53846,no,0.5
BAGTAS,1100000,1100000,36,22,30555.55556,50000,no,0.7
AMAYA,3100000,3100000,36,42,86111.11111,73809.52381,no,0.8
BAGTAS,1100000,1100000,37,42,29729.72973,26190.47619,no,0.7
TRES CRUSES,700000,700000,36,32,19444.44444,21875,no,0.35
AMAYA,5500000,5500000,136,65,40441.17647,84615.38462,no,0.8
PUNTA,3700000,3700000,79,60,46835.44304,61666.66667,no,0.75
AMAYA,1500000,1500000,36,42,41666.66667,35714.28571,no,0.8
CALIBUYO,3500000,3500000,162,44.5,21604.93827,78651.68539,no,0.25
PARADAHAN,5300000,5300000,130,240,40769.23077,22083.33333,no,0.65
AMAYA,944467.002,3420000,50,65,68400,52615.38462,yes,0.8
SANJA MAYOR,2500000,2500000,70,46,35714.28571,54347.82609,no,0.5
AMAYA,3451999.276,12500000,301,158,41528.2392,79113.92405,yes,0.8
AMAYA,15000000,15000000,250,300,60000,50000,no,0.8
MULAWIN,7500000,7500000,100,42,75000,178571.4286,no,0.4
SANJA MAYOR,2300000,2300000,56,46,41071.42857,50000,no,0.5
PUNTA,1600000,1600000,36,46,44444.44444,34782.6087,no,0.75
PARADAHAN,3500000,3500000,78,70,44871.79487,50000,no,0.65
BIGA,1700000,1700000,44,49,38636.36364,34693.87755,no,0.6
BAGTAS,5500000,5500000,88,53,62500,103773.5849,no,0.7
SANJA MAYOR,2500000,2500000,73,47,34246.57534,53191.48936,no,0.5
PUNTA,1124854.676,4073200,36,45,113144.4444,90515.55556,yes,0.75
BIGA,1800000,1800000,40,46,45000,39130.43478,no,0.6
PARADAHAN,3500000,3500000,78,70,44871.79487,50000,no,0.65
BIGA,420676.5924,1140922,36,42,31692.27778,27164.80952,yes,0.6
TANAUAN,1400000,1400000,61,40,22950.81967,35000,no,0.25
BIGA,1800000,1800000,40,46,45000,39130.43478,no,0.6
PARADAHAN,4500000,4500000,347,54,12968.29971,83333.33333,no,0.65
PUNTA,2600000,2600000,85,45,30588.23529,57777.77778,no,0.75
PUNTA,1500000,1500000,36,46,41666.66667,32608.69565,no,0.75
